y_variable,adjusted_r2_complaint,rmse_complaint,mae_complaint
ARTHRITIS,0.5193829944525878,3.416656827616444,2.4736623032849065
BPHIGH,0.6198114476419037,4.730191264830593,3.505549814385207
CANCER,0.33934265289676396,1.2401851412187566,0.8682887016893626
CASTHMA,0.6647407107810412,1.0640224511118255,0.7864566777951403
CHD,0.37060844764854267,1.2430769115277045,0.8841010704980935
COPD,0.5356967096941492,1.4605218651194067,1.0567104577388473
DIABETES,0.5757994653775154,2.8080215661811048,2.086842731211081
HIGHCHOL,0.4123004684574639,3.3180716761173317,2.386424749560556
KIDNEY,0.4932489638061169,0.599410289043969,0.4357593759922819
OBESITY,0.7059981081857314,4.147853812649701,3.2029812426413384
STROKE,0.5686801666420719,0.8086105378296946,0.5806842974605273
BINGE,0.5589832341836518,2.3012217525553007,1.7158343110514032
CSMOKING,0.6382715853036018,3.433452035660025,2.524852235419226
LPA,0.6421292321690795,5.677976879848316,4.3747411721759475
SLEEP,0.6714612057156077,2.992514503144437,2.29157218387434
MHLTH,0.5335363085183402,2.326769129547706,1.6898561735352722
PHLTH,0.5900598399496467,2.23842050980086,1.6668816786081273
ACCESS2,0.5856505919123833,4.7370378155305914,3.4665041456134973
CHECKUP,0.8604221297760173,2.71795067828594,2.0511743672393057
CHOLSCREEN,0.517743110584884,3.4909471570840678,2.486215318765367
DENTAL,0.5927838762994488,7.208437442754473,5.579612370420486
