y_variable,adjusted_r2_complaint,rmse_complaint,mae_complaint
ARTHRITIS,0.5850922910293551,3.414520623477718,2.45900328582727
BPHIGH,0.6412187117101678,4.866131071738194,3.5721740502111174
CANCER,0.3945689685992809,1.203967387252907,0.8518374703973676
CASTHMA,0.7401997280835578,1.0423214315177287,0.777247694260983
CHD,0.40249987847684576,1.3123138986202392,0.9361452545744985
COPD,0.5807372684571248,1.4404809366513216,1.049112345708491
DIABETES,0.5920737604775773,2.7302690169999275,2.0404311090736345
HIGHCHOL,0.37406484115914057,3.2342424012129065,2.306426890840315
KIDNEY,0.5473214259214877,0.6682107419538426,0.4860636825119111
OBESITY,0.7308422360720908,3.999465399625906,3.0389642443310394
STROKE,0.5976216792929046,0.9259751318048677,0.6605753809004896
BINGE,0.5984090639714447,2.639727945397032,1.9474727065025845
CSMOKING,0.6689707742123061,3.114423457006509,2.3037566889023604
LPA,0.6339100775515318,5.499622336225109,4.240976903274199
SLEEP,0.7402851069678091,3.053313765390185,2.328194080579249
MHLTH,0.5900730658967264,2.2145870823517573,1.6460289259996561
PHLTH,0.5896749918411701,2.602475093555035,1.9531016315756395
ACCESS2,0.6225209516243677,5.29622977347402,3.9997041612203157
CHECKUP,0.7794172349774844,2.5942121458103404,1.9880135708191211
CHOLSCREEN,0.48400646092342664,2.7992434205600047,2.052816539093757
DENTAL,0.6152420863794504,7.269543289218743,5.684360611035174
