y_variable,adjusted_r2_complaint,rmse_complaint,mae_complaint
ARTHRITIS,0.5532891612850082,3.4790119866107503,2.5123546158555734
BPHIGH,0.6288202524592591,4.948597676768187,3.656992227032981
CANCER,0.3575950618978241,1.1960057004861,0.8466169571019193
CASTHMA,0.6645266017281786,1.115144735395433,0.823396347305029
CHD,0.34040174593039635,1.29165264950357,0.9180721745478578
COPD,0.5047723710969312,1.4869406126409728,1.072758381641402
DIABETES,0.5847948623865186,2.674825531841609,1.9618038063063854
HIGHCHOL,0.3604382571392303,3.2699599321935224,2.3418820774282763
KIDNEY,0.4954082559971149,0.6615037089084558,0.47485359285655077
OBESITY,0.6978123045503846,4.210172710130093,3.2198963220205457
STROKE,0.5630798757560547,0.8979409248287518,0.6384724957667965
BINGE,0.5727681190556915,2.3102364067819026,1.6994062925445825
CSMOKING,0.6468241067080559,3.302109814156464,2.430036158107586
LPA,0.6155969773584586,5.732154845176814,4.407906469765827
SLEEP,0.6602488929945576,3.0441532997166387,2.3280065133127765
MHLTH,0.5965357607638323,1.742173166103567,1.2906785665176872
PHLTH,0.5580799570956317,2.1619939203596052,1.6038135298961447
ACCESS2,0.6033464048583927,4.940458314643772,3.726624325791049
CHECKUP,0.8626908975024417,2.640468658096218,2.009748800806583
CHOLSCREEN,0.4782102001059907,2.8147596115761937,2.0519188190758393
DENTAL,0.5783904603767844,7.335488610019627,5.69306312759792
