y_variable,adjusted_r2_hybrid,rmse_hybrid,mae_hybrid
ARTHRITIS,0.5569053169673255,3.267928408866253,2.455891889731142
BPHIGH,0.6634290639426119,4.430239581450012,3.298847163352042
CANCER,0.7266280275858344,0.7947024807483734,0.6099323601017244
CASTHMA,0.5457769978296783,1.2362312763419083,0.9424613762294595
CHD,0.36907714341524106,1.2319633907178091,0.8885264275589397
COPD,0.264643131064085,1.825619215542083,1.3193922741542459
DIABETES,0.5610363595315195,2.836568429887698,2.060495270975416
HIGHCHOL,0.5233510020661432,2.981542623818381,2.2454961316465227
KIDNEY,0.5547587877199158,0.5592160737076741,0.41226404102237807
OBESITY,0.434522470939922,5.655605191489776,4.005444528777227
STROKE,0.5830460819790748,0.7927371038955136,0.5732774239092573
BINGE,0.5527383436111377,2.243847242429535,1.5367691493549753
CSMOKING,0.37817482204211805,4.480590350157698,3.306008971459433
LPA,0.44896734050272763,7.0118393524725064,5.422384830041301
SLEEP,0.7423457594965094,2.6432355528486235,2.0491853129763804
MHLTH,0.4174105259020031,2.5952396816277608,1.9460661343729062
PHLTH,0.25752775660613725,2.968249956279496,2.141778608995506
ACCESS2,0.21431381565007895,6.433231327844474,4.5761391960530435
CHECKUP,0.6038117662007619,4.544828329651436,3.211838433072147
CHOLSCREEN,0.2720866620883894,4.1911346428228935,2.8597193485917787
DENTAL,0.4366457851443645,8.42703374101639,6.380288383703499
