y_variable,adjusted_r2_demographics,rmse_demographics,mae_demographics
ARTHRITIS,0.5086272056095125,3.757355810974434,2.8883213204506175
BPHIGH,0.6575183200436412,4.807748832096175,3.682541760837727
CANCER,0.7316255695193998,0.8103784421471584,0.6204734461484694
CASTHMA,0.49568313232827893,1.4692024304436988,1.1203244852386631
CHD,0.427518257677002,1.2988061374736901,0.9761225881870012
COPD,0.3371011608660158,1.8324331425772897,1.3642533973418112
DIABETES,0.6213504068870545,2.6616717221593644,2.0205031382006475
HIGHCHOL,0.5530306515922085,2.7621160481600957,2.118616954690919
KIDNEY,0.529162361547966,0.6895145833355678,0.5188624661631575
OBESITY,0.47854916945765735,5.629901574414116,4.388064544438032
STROKE,0.6008428807517141,0.9335578160895526,0.6815508608069001
BINGE,0.5573064704055399,2.8032524676549437,2.191647228382195
CSMOKING,0.38427928794246685,4.295573703704119,3.279223274259755
LPA,0.49070359408037073,6.558505493920308,5.236825073620693
SLEEP,0.6865084317827732,3.3911986086761026,2.6547533063765734
MHLTH,0.40726242444029204,2.692474933233108,2.0613563181274026
PHLTH,0.38030446599739054,3.2337313624485047,2.4921422108141047
ACCESS2,0.32228671452451324,7.179729389122157,5.452316688453445
CHECKUP,0.5648085453273718,3.683340361453754,2.9520164522149535
CHOLSCREEN,0.46931218444313966,2.870701007697036,2.1955911506015737
DENTAL,0.4875018410649788,8.481376350249535,6.695092956052837
