y_variable,adjusted_r2_hybrid,rmse_hybrid,mae_hybrid
ARTHRITIS,0.7399570143882832,2.508444902433271,1.8980483592515387
BPHIGH,0.8169429976615804,3.2773615497969892,2.4859371196904627
CANCER,0.7882486224438868,0.7004500875341286,0.5276482973056561
CASTHMA,0.7593357964163651,0.8999060160115546,0.6580211804226493
CHD,0.6127144120377641,0.9733455676322009,0.7096343108759431
COPD,0.606071949123505,1.3428175723557298,0.9679150023210032
DIABETES,0.741605720823744,2.1881961785971655,1.627664462241303
HIGHCHOL,0.7114291195627118,2.3196268577461727,1.7405786611558303
KIDNEY,0.7131504071559678,0.45015434112864944,0.3335417227243006
OBESITY,0.782754679071721,3.56208418864973,2.7032932712354962
STROKE,0.7424191176038006,0.6239690596537015,0.45232953621314176
BINGE,0.8069392033042074,1.5198835277670941,1.1601987230610367
CSMOKING,0.6962857320332805,3.1409465928241,2.3229300896165355
LPA,0.7319672498602395,4.906279785636496,3.775810504300656
SLEEP,0.8648007087182306,1.9158193088794946,1.469336113762416
MHLTH,0.6554737677335852,1.9960162297658162,1.4824208295582504
PHLTH,0.6444084511236365,2.0809876351534253,1.5558656350754605
ACCESS2,0.6247563656693231,4.496633035796599,3.213365773523968
CHECKUP,0.9365172123041111,1.8291193794450167,1.3803996011014745
CHOLSCREEN,0.6728369103760239,2.867633095027886,2.0910133817089838
DENTAL,0.6928799729435309,6.245983822860438,4.7734325794760775
