y_variable,adjusted_r2_hybrid,rmse_hybrid,mae_hybrid
ARTHRITIS,0.7923245545460595,2.5010142267427717,1.8895620160004267
BPHIGH,0.8456801384518127,3.138697730478394,2.3761187425681065
CANCER,0.8024305076363121,0.6632284790805165,0.4994123859418522
CASTHMA,0.813367918258548,0.8783527022365645,0.6498664965765989
CHD,0.6406735004926845,1.061930485974626,0.7779614717862817
COPD,0.6706157710932059,1.274275459503402,0.939400109828864
DIABETES,0.7922970692568528,1.970288407864291,1.4618207272206805
HIGHCHOL,0.704537099261736,2.2835139082803027,1.6921487430543185
KIDNEY,0.7319396495206816,0.4882747949682032,0.3604298031801048
OBESITY,0.8107454907579527,3.2491370236661643,2.4547280378861047
STROKE,0.7752338419655646,0.6805666603430167,0.4883862347887316
BINGE,0.8514745418320391,1.6472877293480779,1.244419956478874
CSMOKING,0.7488530040813599,2.778688520063022,2.093944458003569
LPA,0.7490657176368163,4.31231854301587,3.299971340638101
SLEEP,0.9003030158087905,1.8855092357013064,1.446331565416673
MHLTH,0.7307028551150039,1.862441245280526,1.3976055994657404
PHLTH,0.6893819478935616,2.273026588201848,1.6999630556679155
ACCESS2,0.6994365090730937,4.512012817549548,3.3211737552362472
CHECKUP,0.9247708799352953,1.5934593013267506,1.2090836172531474
CHOLSCREEN,0.71833076044456,2.0883001231156646,1.5616145824768413
DENTAL,0.7441782824321224,5.913777764727991,4.541642139342954
