y_variable,adjusted_r2_demographics,rmse_demographics,mae_demographics
ARTHRITIS,0.495174805150021,3.740127608504069,2.869508882966963
BPHIGH,0.6552634317028433,4.824353571540232,3.6836671036579043
CANCER,0.7360391580619976,0.7749367767199002,0.593227444766637
CASTHMA,0.547288642103051,1.3096390960717919,0.9827415931541642
CHD,0.44271791010019024,1.198971159942559,0.9084890204970218
COPD,0.29697743128436616,1.7922876506053314,1.336322926319196
DIABETES,0.605518941824019,2.6374053079574575,1.9845823406583822
HIGHCHOL,0.5560635525875661,2.753534479614555,2.1201391058632884
KIDNEY,0.5071636601069606,0.6611772399043861,0.49773719052195853
OBESITY,0.43164540546662067,5.838280956636771,4.599984156938787
STROKE,0.5617547176561407,0.9094569633233685,0.6598966769993367
BINGE,0.600469330513631,2.2599151965211823,1.7772212690043356
CSMOKING,0.39848160082420875,4.358933796607772,3.332307283314692
LPA,0.4758404971587359,6.76787419287848,5.445930727742198
SLEEP,0.7297116275735946,2.744166026253998,2.1548309826079546
MHLTH,0.3830691222781528,2.178364011980657,1.7102347974759133
PHLTH,0.35964393379361265,2.6320670641660904,2.028095242632744
ACCESS2,0.31493576906528425,6.565915280246669,4.9322738786762645
CHECKUP,0.47814186929942915,5.204641572502058,4.0946167322234865
CHOLSCREEN,0.4651051020688953,2.8819848193638737,2.2018470103027026
DENTAL,0.47805614679515085,8.249498663402266,6.5229474579850955
