y_variable,adjusted_r2_hybrid,rmse_hybrid,mae_hybrid
ARTHRITIS,0.7705561536699037,2.3559515674179474,1.775188312194145
BPHIGH,0.83328041192506,3.12666289463158,2.354324638116924
CANCER,0.8070303971558712,0.6688182352722052,0.5003289449292975
CASTHMA,0.7821373724382236,0.8559896257357631,0.6211431899917063
CHD,0.6465307039479228,0.9297557492735059,0.6756320835282209
COPD,0.6412444184781159,1.2813340368005852,0.9229085644128239
DIABETES,0.7667329746175008,2.07968712209793,1.5396166610877002
HIGHCHOL,0.7400671542818765,2.202234430199149,1.6569932046423932
KIDNEY,0.7359528323410861,0.4319988702154024,0.319643133770839
OBESITY,0.7947091145066801,3.4624060512910804,2.616248616654944
STROKE,0.7680145976891615,0.5920303681156162,0.4273892793689401
BINGE,0.8222345706121951,1.4583204677037838,1.1055459637329863
CSMOKING,0.7288601456090855,2.967312054863063,2.1805055577152404
LPA,0.7524760308043302,4.713663110008634,3.590694816668028
SLEEP,0.8734956649049188,1.85277293890126,1.4161008843627718
MHLTH,0.6891957980516927,1.8958447237184655,1.414372189238459
PHLTH,0.6728898962818206,1.9961954683525676,1.4866275210248294
ACCESS2,0.6635748547867111,4.256688915044515,3.0304294484073777
CHECKUP,0.9416370126108659,1.7523031731616374,1.3157033987374533
CHOLSCREEN,0.7039835853657495,2.728397626316101,1.9958466084515518
DENTAL,0.7223393245153573,5.939950954459211,4.562137019696053
